tag_as_of_date,pool_as_of_date,universe_name,ts_code,name,industry,market,exchange,match_reason
20250101,20250101,hs300,688036.SH,传音控股,通信设备,科创板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,hs300,688041.SH,海光信息,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688082.SH,盛美上海,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688126.SH,沪硅产业,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688223.SH,晶科能源,电气设备,科创板,SSE,芯片设计/功率半导体
20250101,20250101,hs300,688256.SH,寒武纪,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688396.SH,华润微,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688981.SH,中芯国际,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000021.SZ,深科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000050.SZ,深天马Ａ,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000066.SZ,中国长城,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,000519.SZ,中兵红箭,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,000636.SZ,风华高科,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000683.SZ,博源化工,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,000733.SZ,振华科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000818.SZ,航锦科技,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,000830.SZ,鲁西化工,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,000988.SZ,华工科技,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,000997.SZ,新大陆,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,002008.SZ,大族激光,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,002025.SZ,航天电器,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002138.SZ,顺络电子,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002152.SZ,广电运通,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,002156.SZ,通富微电,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002185.SZ,华天科技,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002268.SZ,电科网安,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,002273.SZ,水晶光电,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002281.SZ,光迅科技,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,002384.SZ,东山精密,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002407.SZ,多氟多,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,002408.SZ,齐翔腾达,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,002409.SZ,雅克科技,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002414.SZ,高德红外,电器仪表,主板,SZSE,机器人本体/工业自动化
20250101,20250101,zz500,002436.SZ,兴森科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002465.SZ,海格通信,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,002595.SZ,豪迈科技,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,002683.SZ,广东宏大,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,002690.SZ,美亚光电,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,002841.SZ,视源股份,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,003022.SZ,联泓新科,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,003031.SZ,中瓷电子,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,300012.SZ,华测检测,电器仪表,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz500,300024.SZ,机器人,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,300037.SZ,新宙邦,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz500,300054.SZ,鼎龙股份,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz500,300136.SZ,信维通信,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,300223.SZ,北京君正,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,300373.SZ,扬杰科技,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,300474.SZ,景嘉微,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,300476.SZ,胜宏科技,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,300487.SZ,蓝晓科技,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz500,300567.SZ,精测电子,电器仪表,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz500,300604.SZ,长川科技,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,300724.SZ,捷佳伟创,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,300751.SZ,迈为股份,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,300866.SZ,安克创新,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,301165.SZ,锐捷网络,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,301308.SZ,江波龙,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,600131.SH,国网信通,通信设备,主板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,600378.SH,昊华科技,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,zz500,600435.SH,北方导航,专用机械,主板,SSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,600487.SH,亨通光电,通信设备,主板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,600498.SH,烽火通信,通信设备,主板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,600499.SH,科达制造,专用机械,主板,SSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,600521.SH,华海药业,化学制药,主板,SSE,半导体设备/材料
20250101,20250101,zz500,600563.SH,法拉电子,元器件,主板,SSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,600582.SH,天地科技,专用机械,主板,SSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,600707.SH,彩虹股份,元器件,主板,SSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,601216.SH,君正集团,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,zz500,601231.SH,环旭电子,元器件,主板,SSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,601568.SH,北元集团,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,zz500,601608.SH,中信重工,专用机械,主板,SSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,601717.SH,中创智领,专用机械,主板,SSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,603077.SH,和邦生物,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,zz500,603160.SH,汇顶科技,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,603228.SH,景旺电子,元器件,主板,SSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,603290.SH,斯达半导,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,603341.SH,龙旗科技,通信设备,主板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,603379.SH,三美股份,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,zz500,603556.SH,海兴电力,电器仪表,主板,SSE,机器人本体/工业自动化
20250101,20250101,zz500,603650.SH,彤程新材,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,zz500,603712.SH,七一二,通信设备,主板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,603728.SH,鸣志电器,电气设备,主板,SSE,机器人本体/工业自动化
20250101,20250101,zz500,603893.SH,瑞芯微,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,605358.SH,立昂微,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688002.SH,睿创微纳,通信设备,科创板,SSE,CPO/光模块;PCB/服务器/高速连接;芯片设计/功率半导体
20250101,20250101,zz500,688017.SH,绿的谐波,机械基件,科创板,SSE,机器人本体/工业自动化
