as_of_date,ts_code,name,industry,market,exchange,theme,sub_theme,source,confidence,evidence,valid_from,valid_to
20250101,002222.SZ,福晶科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002241.SZ,歌尔股份,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002273.SZ,水晶光电,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002281.SZ,光迅科技,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备;name:光迅,20250101,
20250101,002289.SZ,*ST宇顺,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002296.SZ,辉煌科技,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002313.SZ,日海智能,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002369.SZ,卓翼科技,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002383.SZ,合众思壮,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002384.SZ,东山精密,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002387.SZ,维信诺,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002388.SZ,新亚制程,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002396.SZ,星网锐捷,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002402.SZ,和而泰,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002413.SZ,雷科防务,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002426.SZ,胜利精密,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002436.SZ,兴森科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002446.SZ,盛路通信,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002456.SZ,欧菲光,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002463.SZ,沪电股份,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002465.SZ,海格通信,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002475.SZ,立讯精密,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002484.SZ,江海股份,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002491.SZ,通鼎互联,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002519.SZ,银河电子,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002544.SZ,普天科技,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002552.SZ,宝鼎科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002579.SZ,中京电子,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002583.SZ,海能达,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002587.SZ,奥拓电子,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002600.SZ,领益智造,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002635.SZ,安洁科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002636.SZ,金安国纪,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002655.SZ,共达电声,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002681.SZ,奋达科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002724.SZ,海洋王,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002729.SZ,好利科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002745.SZ,木林森,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002765.SZ,蓝黛科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002782.SZ,可立克,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002792.SZ,通宇通讯,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002796.SZ,世嘉科技,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002808.SZ,*ST恒久,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002815.SZ,崇达技术,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002841.SZ,视源股份,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002845.SZ,同兴达,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002855.SZ,捷荣技术,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002859.SZ,洁美科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002861.SZ,瀛通通讯,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002869.SZ,金溢科技,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002876.SZ,三利谱,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002881.SZ,美格智能,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002885.SZ,京泉华,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002888.SZ,惠威科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002897.SZ,意华股份,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002902.SZ,铭普光磁,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002913.SZ,奥士康,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002916.SZ,深南电路,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002925.SZ,盈趣科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002929.SZ,润建股份,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002937.SZ,兴瑞科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002938.SZ,鹏鼎控股,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002947.SZ,恒铭达,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002952.SZ,亚世光电,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002962.SZ,五方光电,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002977.SZ,天箭科技,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,002981.SZ,朝阳科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002983.SZ,芯瑞达,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002992.SZ,宝明科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,002993.SZ,奥海科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,003015.SZ,日久光电,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,003019.SZ,宸展光电,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,003021.SZ,兆威机电,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,003028.SZ,振邦智能,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,003031.SZ,中瓷电子,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,003040.SZ,楚天龙,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300025.SZ,华星创业,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300032.SZ,金龙机电,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300050.SZ,世纪鼎利,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300088.SZ,长信科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300101.SZ,振芯科技,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300115.SZ,长盈精密,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300120.SZ,经纬辉开,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300128.SZ,锦富技术,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300131.SZ,英唐智控,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300134.SZ,大富科技,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300136.SZ,信维通信,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300162.SZ,雷曼光电,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
